"school_permalink","school_name","short_description","description","image_url","homepage_url","created_at","updated_at","headquarters_country","headquarters_city","headquarters_lat","headquarters_lng"
"dimitrie-cantemir-law-school","\"Dimitrie Cantemir\" Law School","Law School",NA,NA,NA,2014-05-14,2014-05-14,NA,NA,NA,NA
"aalborg-university","Aalborg University","Aalborg University is an educational institution offering education and research within the fields of natural sciences and more.","Aalborg University is an educational institution that offers education and research within the fields of natural sciences, social sciences, humanities, and technical and health sciences. It is focused on developing engineers with experience from working with real companies in their semester projects and on working in a team environment that develops the interpersonal skills, as well as teamwork skills.  It is currently focused on developing its profile as a dynamic and innovative research and educational institution oriented towards the surrounding world.  Aalborg University was established in 1974 and is headquartered in Aalborg, Denmark.","http://public.crunchbase.com/t_api_images/v1412670705/hy1rclbaomsws2hdajbs.jpg","http://en.aau.dk",2014-04-20,2016-02-04,NA,NA,NA,NA
"aalto-university","Aalto University","Aalto University’s mission is to build a better a world and a stronger Finland.",NA,"http://public.crunchbase.com/t_api_images/v1411187364/fvswpdybdwefv7owflyj.png","http://www.aalto.fi/en/",2014-04-20,2016-01-18,"Finland",NA,NA,NA
"aalto-university-school-of-arts-design-and-architecture","Aalto University School of Arts, Design and Architecture",NA,NA,NA,"http://arts.aalto.fi/en/",2014-04-20,2015-10-31,"Finland","Helsinki",60.16952,60.16952
"aalto-university-school-of-business","Aalto University School of Business","Aalto University is a new multidisciplinary university, where science and art meet technology and business.","It is primarily located in Greater Helsinki, Finland. The university was created as a result of a merger between three leading Finnish universities that include the Helsinki University of Technology (established 1849), the Helsinki School of Economics (established 1904), and the University of Art and Design Helsinki (established 1871). The result of this close collaboration between the scientific, business and arts community opens up new possibilities for strong multi-disciplinary education and research, which is imperative for creating radical solutions to existing modern technological problems. The Finnish government, in 2010, set out to create a university that has innovation built into its foundations, merging three institutions into one along the way, forming an entity that serves as Finland's model for an innovation university.It comprises six schools with over 19,000 students and 5,000 staff members, thus being Finland's third-largest university. The six schools of Aalto University are all renowned institutions in their respective fields. The main campus of Aalto University is located in Otaniemi, Espoo, where the engineering schools operate, with two schools currently headquartered in Helsinki: the School of Business in Töölö and the School of Arts, Design and Architecture in Arabianranta (set to be relocated to Otaniemi in 2016). In addition, the university operates several units outside Greater Helsinki in Mikkeli, Pori and Vaasa.","http://public.crunchbase.com/t_api_images/v1408639185/zpxoki3rvs1r7br9isef.png","http://business.aalto.fi/en/",2014-04-20,2016-01-16,"Finland","Helsinki",NA,NA
"aarhus-university","Aarhus University",NA,NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Aarhus_University_logo.png/188px-Aarhus_University_logo.png","http://www.au.dk/en",2014-04-20,2015-10-28,"Denmark","Aarhus",56.1661,56.1661
"academia-militar-das-agulhas-negras","Academia Militar das Agulhas Negras",NA,NA,NA,"http://www.aman.ensino.eb.br",2014-04-20,2015-05-19,NA,NA,NA,NA
"acadia-university","Acadia University","Acadia University is a predominantly undergraduate university located in Wolfville, Nova Scotia, Canada.",NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Acadia_U_logo.png/300px-Acadia_U_logo.png","http://www.acadiau.ca",2014-04-20,2016-01-13,NA,NA,NA,NA
"adi-shankara-institute-of-engineering-and-technology","Adi Shankara Institute of Engineering and Technology","The Adi Shankara Institute of Engineering and Technology, is a self-financing college, situated in Kalady",NA,"http://public.crunchbase.com/t_api_images/v1412163468/y03uj79gst4btl8ln1fq.jpg","http://www.adishankara.ac.in/",2014-10-01,2014-10-01,NA,NA,NA,NA
"adithya-institute-of-technology","Adithya Institute Of Technology","Adithya Institute of Technology, located at Coimbatore, Tamil Nadu, India, is a private self-financing engineering Institute,",NA,"http://public.crunchbase.com/t_api_images/v1452146836/goqbaj9pelyihmncwc47.png",NA,2016-01-07,2016-01-15,NA,NA,NA,NA
"afa-brazilian-air-force-academy","AFA - Brazilian Air Force Academy","AFA, located at São Paulo state, is responsible for the trainning of Pilots for the Brazilian Air Foce",NA,"http://public.crunchbase.com/t_api_images/v1403205413/ermdg303zkcbzvonlkag.jpg","http://www.afa.aer.mil.br",2014-06-19,2016-01-17,NA,NA,NA,NA
"afeka-college-of-engineering","Afeka College of Engineering","Afeka Tel Aviv Academic College of Engineering is a public technical college in Tel Aviv, Israel, educating approximately 2,000 students.",NA,NA,"http://www.afeka.ac.il/Afeka_College_of_Engineering_en.aspx",2014-04-20,2016-01-05,"Israel","Tel Aviv",32.08088,32.08088
"agh-university-of-science-and-technology","AGH University of Science and Technology","AGH University of Science and Technology is the technical university in Poland, located in Kraków.",NA,NA,"http://agh.edu.pl/en",2014-04-20,2016-01-18,"Poland","Kraków",50.06143,50.06143
"air-force-institute-of-technology-graduate-school-of-engineering-management","Air Force Institute of Technology - Graduate School of Engineering & Management",NA,"While many graduate schools are part of a university, the Air ForceInstitute of Technology’s Graduate School of Engineering & Management isits own institution. Students at the AFIT Graduate School benefit fromacademics focused on graduate study, with a variety of researchopportunities and a student-to-faculty ratio of about 6:1.The Graduate School of Engineering & Management is divided into severaldepartments:  * Aeronautics & Astronautics  * Electrical & Computer Engineering  * Engineering Physics  * Mathematics & Statistics  * Operational Sciences  * Systems & Engineering ManagementMaster’s and doctoral degree programs are available. You can choose froma number of diverse subjects, from Aeronautical Engineering and ComputerScience to more unusual fields like Industrial Hygiene and EnvironmentalEngineering.Because of these diverse academic offerings, admissions requirementsvary. Generally speaking, applicants to the Graduate School ofEngineering & Management should have previous undergraduate coursework intheir chosen field of study.Financial aid at AFIT Graduate School of Engineering & Management comesin many forms. Assistantships, fellowships, internships and scholarshipscan help to reduce the burden of tuition. Of course, the schoolparticipates in all Department of Veterans Affairs programs as well.",NA,"http://www.afit.edu/",2014-04-20,2014-09-04,"United States","Dayton",39.75895,39.75895
"air-university","Air University","http://www.au.edu.pk/",NA,"http://public.crunchbase.com/t_api_images/v1410325023/ga1kgxaupiqhzgsqrswy.jpg","http://www.au.edu.pk/",2014-09-10,2015-12-19,NA,NA,NA,NA
"aix-marseille-university","Aix-Marseille University","Aix-Marseille University is a public research university located in Provence, southern France.",NA,NA,"http://www.univ-amu.fr/",2014-04-20,2016-01-31,NA,NA,NA,NA
"alagappa-university","Alagappa University",NA,NA,NA,"http://www.alagappauniversity.ac.in",2014-04-20,2015-05-20,NA,NA,NA,NA
"albany-medical-college","Albany Medical College",NA,NA,NA,"http://www.amc.edu/",2014-04-20,2015-05-20,NA,NA,NA,NA
"albert-einstein-college-of-medicine","Albert Einstein College of Medicine","Albert Einstein College of Medicine offers one of the nation’s largest programs for medical education.","The Albert Einstein College of Medicine of Yeshiva University is a premier, research-intensive medical school dedicated to innovative biomedical investigation and to the development of ethical and compassionate physicians and scientists. Inspired by the words of our namesake, we welcome students, faculty and staff from diverse backgrounds who strive to enhance human health in the community and beyond.","http://public.crunchbase.com/t_api_images/v1436782429/in8wba1bmastojblutsq.png","http://www.einstein.yu.edu/",2014-04-20,2015-12-12,"United States","Bronx",40.82732,40.82732
"alfred-university","Alfred University",NA,"For over a century, Alfred University (AU) has provided extensiveacademic offerings.AU has undergraduate degree programs in:  * Athletic Training  * Business Administration  * Communications Studies  * Environmental Studies  * Mechanical Engineering  * Pre-LawAdditionally, graduate degree programs are offered in Counseling,Engineering, Fine Arts, School Psychology, and more. Special summer campsand courses are available as well.The university places a great emphasis on undergraduate research andinternational opportunities through internships and study abroadprograms. To enhance learning and research, AU makes sure that itsfacilities are equipped with updated technology. It also has twoimpressive libraries with a wealth of academic resources for itsstudents.All that, and the university still makes it a priority to reduce itsimpact on the environment through advanced energy-saving andsustainability measures and upgrades.Beyond academics, AU has dozens of clubs and organizations in whichstudents can participate. College life presents students with the chanceto involve themselves in activities such as: athletics, campus living,equestrian programs, performing arts, and spiritual groups.Admissions to AU are selective, and many factors are considered:  * Difficulty of coursework completed  * GPA  * Extracurricular activities  * Personal essay  * Recommendation letters  * Standardized test scoresAU does charge an application fee for admission. According to schoolstatistics, the majority of undergraduates are receiving some type offinancial aid from federal, state, private, and institutional sources.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Alfred-University-BAB636EF.jpg","http://www.alfred.edu/",2014-04-20,2015-11-04,"United States","Alfred",42.2538,-77.7889
"all-india-institute-of-medical-sciences-new-delhi","All India Institute of Medical Sciences , New Delhi","All India Institute of Medical Sciences , New Delhi",NA,"http://public.crunchbase.com/t_api_images/v1427895256/v5uzf4dwxjswdmiifrl7.png","http://www.aiims.edu/",2014-08-21,2015-12-22,"India","New Delhi",28.63576,28.63576
"allahabad-university","Allahabad University",NA,NA,NA,"http://www.allduniv.ac.in",2014-04-20,2015-05-19,NA,NA,NA,NA
"allegheny-college","Allegheny College",NA,"The Allegheny College in Meadville, Pennsylvania, is a national liberalarts college that honors the unique skills, talents and interests of allits students to create a personalized educational experience.The Office of Student Involvement provides opportunities for leadership,social interaction, community-building and educational development for anenriching student life. Students may join one of the many student clubsand organizations, with interests that include Greek life honorarysocieties, performing arts, volunteer and service, and politicalactivism. Virtually all interests have a family of like-minded studentsat Allegheny.Academics include more than 30 undergraduate degrees in fields likeReligious Studies, Art History, Environmental Science and InternationalStudies. Students also have the opportunity to design their own major ifsuch a major is not offered.Admissions are determined by academic achievement and unique personalqualities, like involvement in extracurricular and community serviceactivities. All applicants are evaluated individually. Admissions requirestudents to submit official high school transcript and ACT/SAT scores,two letters of recommendation and a personal essay.Students who file a FAFSA will be considered to receive federal financialaid through Pell grants, SEO grants, state aid and work-study programs.Students may also be eligible to receive institutional scholarshipsincluding the BBG Communications Scholarship, which honors students whomaintain a GPA of at least 2.5.",NA,"http://www.allegheny.edu/",2014-04-20,2015-11-30,"United States","Meadville",41.6479,-80.1461
"alma-college-alma","Alma College, Alma",NA,"Alma College is a selective, residential private liberal arts college that highlights personalized education, social responsibility and extraordinary achievements. Devoted exclusively to the teaching and education of undergraduate students, the College is accredited by the Higher Learning Commission and is a member of the North Central Association of Colleges and Secondary Schools.With an enrollment of 1,384 students (44 percent men and 56 percent women), the College employs a full-time teaching faculty of 86, of which 87 percent hold the Ph.D. or other terminal degree. The student-teacher ratio is 13:1, and no classes are taught by graduate students.Alma College was founded in 1886 by Michigan Presbyterians. While still maintaining a close relationship with the Presbyterian Church (USA), the College offers an environment that welcomes students of all religious backgrounds.The College’s attractive campus is located in the city of Alma (population approximately 9,000), located one hour north of Lansing in the center of Michigan’s Lower Peninsula.Alma College’s mission is to prepare graduates who think critically, serve generously, lead purposefully, and live responsibly as stewards of the world they bequeath to future generations.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Alma-College-Alma-4CE4A7EF.jpg","http://www.alma.edu/",2014-04-20,2015-05-19,"United States","Alma",43.379,-84.6701
"alvernia-university","Alvernia University",NA,"American University of Health Sciences (AUHS) is a diverse school foundedin Christian beliefs. It is dedicated to providing education inhealthcare fields to students from various cultural backgrounds. Degreeprograms include Doctor of Pharmacy, Master's of Science in ClinicalResearch (MSCR), and Bachelor's of Science in Nursing (BSN).The university is located in a small town with close proximity to all theamenities of the Greater Los Angeles area. It has an expansive resourcelibrary, including an online library.AUHS provides student enrollment services and career placement servicesas well. Financial aid is also available to those who are eligible in theform of fellowships, grants, loans and scholarships.AUHS is committed to humanitarian efforts, and it encourages its studentsto give back to the local community and the world. To support thismission and commitment, the school has hosted events such as blooddrives, food drives, and toy drives. It has even sponsored trips toimpoverished nations in order to allow students to use the knowledge theygained to help people in need.If you are looking for a multicultural school, rooted in Christianvalues, that offers smaller class sizes and more personalized attention,American University of Health Sciences might be a perfect match for you.For more information on Alvernia University's graduate degree programsplease visit http://www.graduateschoolsinpa.com/.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Alvernia-University-E28E7582.jpg","http://www.alvernia.edu/",2014-04-20,2015-05-19,"United States","Reading",40.3131,-75.9327
"american-college-of-greece","American College of Greece",NA,NA,NA,"http://www.acg.edu",2014-04-20,2015-05-19,NA,NA,NA,NA
"american-institute-of-certified-public-accountants","American Institute of Certified Public Accountants (AICPA)","AICPA is a professional certifying body for the accounting profession that develops standards for audits of private companies.","The AICPA is the world’s largest member association representing the accounting profession, with more than 394,000 members in 128 countries and more than a 125-year heritage of serving the public interest.Founded in 1887, the AICPA represents the CPA profession nationally regarding rule-making and standard-setting, and serves as an advocate before legislative bodies, public interest groups and other professional organizations. The AICPA develops standards for audits of private companies and other services by CPAs; provides educational guidance materials to its members; develops and grades the Uniform CPA Examination; and monitors and enforces compliance with the profession’s technical and ethical standards. The AICPA’s founding established accountancy as a profession distinguished by rigorous educational requirements, high professional standards, a strict code of professional ethics, a licensing status and a commitment to serving the public interest. AICPA members represent many areas of practice, including business and industry, public practice, government, education and consulting. The AICPA sets ethical standards for the profession and U.S. auditing standards for audits of private companies, nonprofit organizations, federal, state and local governments. It develops and grades the Uniform CPA Examination and offers specialty credentials for CPAs who concentrate on personal financial planning; fraud and forensics; business valuation; and information technology. Through a joint venture with the Chartered Institute of Management Accountants, it has established the Chartered Global Management Accountant designation to elevate management accounting globally.","http://public.crunchbase.com/t_api_images/v1430816401/wlq8tw3pq3dam2dz0ive.jpg","http://www.aicpa.org/",2013-04-25,2016-02-01,NA,NA,NA,NA
"american-university","American University","American University.","A global center of study and service, American University features some of the most proficient scholars and offers a wealth of opportunities both locally and abroad. American University students have a reputation for being some of the most politically active students of any school in the nation. Considering that AU is located in Washington, D.C., it is certainly surrounded by many opportunities for such activity. However, the University itself also offers a wealth of centers, institutes and programs, such as the Center for Global Peace, the Center for Community Engagement and Service and the Women and Politics Institute, among many others.  American University students pursue degrees in various academic areas. Offering more than 55 bachelor’s degrees, over 50 master’s degrees, a number of doctoral degrees and a J.D. program, AU offers students choices in six major schools or colleges. These include the School of Arts and Sciences, the School of Business, and the School of Public Affairs.Active throughout the community and the world, many AU students undertake internships. Also, AU Abroad, American University’s international study program, gives AU students the chance to study overseas. Through AU’s world-renowned Washington semester program, students from other states and countries frequently come to AU to study as well. With more than 140 countries and all 50 states represented by its student body, AU has no shortage of diversity. Faculty at AU are top performers in their fields. Many are policy makers, journalists, diplomats and leaders in the fields of science, business and the arts. Financial aid opportunities are extensive and include both forms of aid that need to be repaid such as loans and such sources as grants, scholarships and fellowships which do not. These awards are available to eligible students, and can be discussed with one of AU’s counselors.","http://public.crunchbase.com/t_api_images/v1437395484/agq03rgjaf8hn3if5j5t.jpg","http://www.american.edu/",2014-04-20,2016-02-05,"United States","Washington",38.9385,-77.0867
"american-university-in-bulgaria","American University in Bulgaria","University","In September 1991, the American University in Bulgaria (AUBG) opened its doors with a first-year class of 208 students and 16 full-time faculty members. The first American-style, undergraduate liberal arts educational institution in Eastern Europe, AUBG is a unique cooperative venture established with the support of the U.S. and Bulgarian governments.","http://public.crunchbase.com/t_api_images/v1416049699/ufosp3nsnbqmmwyrsih5.jpg","http://www.aubg.bg/",2014-04-20,2016-01-12,"Bulgaria","Blagoevgrad",42.01667,42.01667
"american-university-in-cairo","American University in Cairo","AUC is an anchor and a magnet. As the cultural and intellectual hub of Cairo, the University attracts the brightest minds from all over the","Founded in 1919, AUC is the region’s leading English-language University and the center of the social, political and cultural life of the Arab world. With a community of students and faculty members representing more than 60 countries, AUC is a crossroads for the world’s cultures and a vibrant forum for reasoned argument, spirited debate and understanding across cultures.AUC offers 36 undergraduate, 44 master’s and two PhD programs rooted in a liberal arts education that encourages students to think critically and find creative solutions to conflicts and challenges facing both the region and the world.The University boasts the largest English-language library collection in Egypt, the fully equipped Kamal Adham Center for Television and Digital Journalism, three modern theaters and 13 cross-discipline research centers. The University’s modern, 260-acre New Cairo campus represents a major investment in the future of the city, the country and the region — a state-of-the-art facility for advanced research, innovative teaching and civic engagement.Chartered and accredited in the United States and Egypt, AUC is an independent, not-for-profit, equal-opportunity institution.","http://public.crunchbase.com/t_api_images/v1435403164/uzpbzjrrd3ybhahyprvu.jpg","http://www.aucegypt.edu",2014-04-20,2016-01-17,"Egypt","Cairo",30.06263,30.06263
"american-university-of-paris","American University of Paris",NA,NA,NA,"http://www.aup.edu/",2014-04-20,2015-11-28,NA,NA,NA,NA
"american-university-of-sharjah","American University of Sharjah",NA,NA,NA,"http://www.aus.edu/",2014-04-20,2015-05-25,"United Arab Emirates","Sharjah",25.33737,25.33737
"amirkabir-university-of-technology","Amirkabir University of Technology",NA,NA,NA,"http://aut.ac.ir/",2014-04-20,2015-07-20,NA,NA,NA,NA
"amity-school-of-engineering-technology","Amity School of Engineering & Technology",NA,NA,NA,"http://www.amity.edu/aset/",2014-04-20,2015-05-19,"India","New Delhi",28.63576,28.63576
"amrita-vishwa-vidyapeetham","Amrita Vishwa Vidyapeetham",NA,NA,NA,"http://www.amrita.edu",2014-04-20,2015-07-09,"India","Coimbatore",11.00555,11.00555
"an-najah-national-university","An-Najah National University","A Palestinian non-governmental public university.",NA,"http://public.crunchbase.com/t_api_images/v1411985608/h4tuyep4sca0sdinjtgm.jpg","http://www.najah.edu/",2014-09-29,2016-01-05,NA,NA,NA,NA
"angelo-state-university","Angelo State University","its undergraduate and graduate programs are plentiful","While Angelo State University may be a mid-sized school made up of a relatively small, community-oriented student body, its undergraduate and graduate programs are plentiful and expand across all disciplines. Angelo State is also a school that is dedicated to educating all students, particularly those from historically underrepresented cultures. Bachelor’s degrees at Angelo state include, but are not limited to:*Studio Art*Creative Writing*Finance*Nursing*Border Security*Pre-Law*Pre-Medicine*Ecology*Social WorkGraduate programs also number in the dozens and encompass such occupational areas as Education, Counseling, Business Administration and Physical TherapyPart of Angelo State’s mission is to provide additional support to those from Hispanic and other disenfranchised cultural groups and is, in fact, designated as a Hispanic Serving Institution. Angelo State also houses the Multicultural Student Center, which provides academic and social support to multicultural students. Participating students also engage in multicultural community service activities such as mentorship in schools. Additional campus activities include student organizations, clubs and cultural activities. Those who require federal financial aid offerings like loans and grants must fill out a FAFSA and meet certain citizenship and financial need requirements, maintain a certain grade point average and not have defaulted on a student loan. State residents may also receive state grants, and all students may be eligible for institutional scholarships. Students must have a high school diploma or GED for admissions and must also submit SAT or ACT scores. Most of Angelo State’s freshmen are within the top 40% of their class and received a score of at least 760 on the SAT or 16 on the ACT.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Angelo-State-University-C1E9AB41.jpg","http://www.angelo.edu/",2014-04-20,2015-12-18,"United States","San Angelo",31.4435,-100.4663
"anna-university-chennai-regional-office-coimbatore","Anna University Chennai","Anna University is a technical university in Tamil Nadu, India.","Anna University was established on 4th September 1978 as a unitary type of University. It offers higher education in Engineering, Technology and allied Sciences relevant to the current and projected needs of the society.Besides promoting research and disseminating knowledge gained therefrom, it fosters cooperation between the academic and industrial communities.The University was formed by bringing together and integrating two well-known technical institutions in the city of Madras.","http://public.crunchbase.com/t_api_images/v1429440503/xupmcnmxeby3nsblazoh.png","http://www.annauniv.edu/",2014-04-20,2016-01-13,NA,NA,NA,NA
"annamalai-university","Annamalai University","With regard to any dispute arising in any matter including admission, returning of Original Certificates, sending of lessons",NA,"http://public.crunchbase.com/t_api_images/v1411047401/mqyz3laozojqgeng5ewe.jpg","http://www.annamalaiuniversity.ac.in",2014-04-20,2016-01-18,NA,NA,NA,NA
"anoka-ramsey-community-college-cambridge","Anoka-Ramsey Community College, Cambridge",NA,"The Anoka-Ramsey Community College in Cambridge, Minnesota, continuallyexpands its academic and career training offerings to ensure thatstudents have access to only the most up-to-date and relevant programs.Students who want to make the most out of their student life are providedwith many resources for involvement, including an enormous variety ofstudent clubs with varying interests, student government opportunitiesand the Phi Theta Kappa honor society.The campus is always full of excitement, as music, theatre and art eventsoccur regularly. Students are cordially invited to the school’s theatreperformances, art exhibits, choir assemblies and band concerts.Academics include undergraduate, certificate and non-credit certificateprograms. Associate’s degrees are offered in fields like Art, BiologicalSciences, English Literature and Environmental Sciences.Certificate programs are offered in fields like Holistic Geriatric Healthand Quality Systems for Biomedical Industries, while non-creditcertificates are available in Adobe Professional Suite, Computer ScienceNetwork Support and Administration and more.Students also have access to a bachelor’s degree in Special Education,exclusive to the Cambridge campus.Admissions are open. Students with a high school diploma or a GED mayattend, as long as they send in official transcripts and register for anew student orientation session.Tuition is set lower for Minnesota residents. Students who wish to beconsidered for financial aid must file a FAFSA. Forms of aid includegrants, A-RCC scholarships, student loans and work-study programs.",NA,"http://www.anokaramsey.edu/",2014-04-20,2015-05-19,"United States","Cambridge",45.5714,-93.2452
"antioch-college","Antioch College","Antioch College is a 164 year-old startup, determined to use its reopening to build and scale a model for what the liberal arts experience","Antioch College is a 164 year-old startup, determined to use its reopening to build and scale a model for what the liberal arts experience can be for all students in the 21st century—not a 4-year retreat from the world, but a deeper engagement with it. Originally founded in 1850, Antioch has long been an agent of disruptive change, having been the only liberal arts college in the country with a required work component for more than 100 years. The cooperative education program reflects Antioch’s critical pedagogical insight that the separation of classroom learning from the world of work is artificial—a philosophy that has produced Nobel Laureates, Fulbright and Rhodes scholars, and notables in the arts, government, business and education. The words of Loren Pope, former education editor of the The New York Times and author of Colleges That Change Lives, speak to Antioch’s unique capability: Antioch is in a class by itself. There is no college or university in the country that makes a more profound difference in a young person’s life, or that creates more effective adults. None of the Ivies, big or small, can match Antioch’s ability to produce outstanding thinkers and doers. The College, located in Yellow Springs, Ohio, is a Candidate for Accreditation with the Higher Learning Commission.","http://public.crunchbase.com/t_api_images/v1423824810/yfzpjf0pvpniy2lowuxx.jpg","http://antiochcollege.org/",2014-04-20,2015-12-12,"United States","Yellow Springs",39.80645,39.80645
"app-academy","App Academy","App Academy is a web development coursewhere studentsshould pay onlyif they find jobs as developers within6 months of graduating.","App Academy is an intensive, full-time, web development class in San Francisco.Over nine weeks, students learn all the skills needed to begin a career as a web developer. Through hands-on projects, they are trained in building modern Ruby on Rails web applications.There is no upfront tuition; students only owe tuition it they find a job as a developer after the program. In that case, the fee is 18% of starting salary, payable over the first 6 months after they start working.95% of graduates have offers or are working in tech jobs now at an average salary of 91,000.","http://public.crunchbase.com/t_api_images/v1397195346/d87ad6059d14dc8aebc154e296192f7f.png","http://appacademy.io",2013-01-18,2016-01-31,"United States","San Francisco",37.7896,-122.3919
"appalachian-state-university","Appalachian State University",NA,"Appalachian State University in Boone, North Carolina, offers rigorousacademics and a rich assortment of cultural activities in a scenicenvironment at the foot of the beautiful Appalachians.Bachelor’s and graduate degrees are awarded in more than 170 areas ofstudy. Undergraduate majors include:  * Actuarial Science  * Archaeology  * Dance Studies  * Geography  * Music Education  * Nursing  * Social Work  * Theatre ArtsIn addition to its substantial academics, App State has a large number ofcultural arts activities, which include Concerts, Literary Readings andTheatre productions.There is also a Summer Arts festival, a glass gallery, a sculpturecompetition and a performing arts series.Since Appalachian is a selective school, admissions to Appalachian arecompetitive, with the average student having a GPAof 3.94 and an averageSAT of 1141.Financial aid is provided through institutional scholarships, which areawarded based on extracurricular involvement or academic merit. Studentsmay also apply for federal aid sources such as Pell grants and loans.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Appalachian-State-University-1E26A0C0.jpg","http://www.appstate.edu/",2014-04-20,2015-09-08,"United States","Boone",36.2146,-81.6819
"aristotle-university-of-thessaloniki","Aristotle University of Thessaloniki","The Aristotle University of Thessaloniki is the largest university in Greece.",NA,"http://public.crunchbase.com/t_api_images/v1409912670/fhvhv0qtbzhomdno9gwl.jpg","http://www.auth.gr",2014-04-20,2016-01-21,"Greece","Thessaloníki",40.64361,40.64361
"arizona-state-university","Arizona State University","A public metropolitan research university located on several campuses spread across the Phoenix, Arizona, Metropolitan Area.","Arizona State University has developed a new model for the American Research University, creating an institution that is committed to excellence, access and impact.ASU measures itself by those it includes, not by those it excludes. ASU pursues research that contributes to the public good, and ASU assumes major responsibility for the economic, social and cultural vitality of the communities that surround it.","http://public.crunchbase.com/t_api_images/v1407977251/g0ibaia6pk8ruh0ojzfg.jpg","http://www.asu.edu/",2014-04-20,2016-02-05,"United States","Tempe",33.41477,33.41477
"arkansas-state-university-jonesboro","Arkansas State University, Jonesboro",NA,"Arkansas State University (ASU) in Jonesboro, Arkansas, boasts hundredsof academic and college life offerings.These include more than 100 bachelor’s degree programs in such fields as:  * Agriculture  * Art  * Communications  * Engineering  * Music  * Physical Therapy  * Social Work  * Theatre  * World LanguagesMany of ASU’s academics are also highly specialized. Those majoring inAgriculture, for example, choose one of half a dozen concentrationswithin the field.ASU also awards more than 60 graduate degrees in such fields as:  * English  * Environmental Science  * Music Education  * Nurse Anesthesia  * Radio-Television  * Rehabilitation CounselingASU’s hundreds of student life options include more than 300 studentorganizations, which range from cultural to special interest toperforming arts groups.Admissions requirements are different for individual programs anddegrees. General undergraduate admissions requirements include completionof an admissions application and submission of transcripts and SAT or ACTscores.ASU has additional admissions requirements for most professionalundergraduate programs. Graduate school applicants will need to refer totheir specific department for admissions requirements.ASU awards undergraduate scholarships to eligible transfer students andto students with an outstanding academic record. Other types of financialaid include grants, loans and work-study. Individual graduate departmentsmay also offer scholarships, grants and fellowships.","http://public.crunchbase.com/t_api_images/v1424239947/gryxwxhhgrnj0zgshr7a.jpg","http://www.astate.edu/",2014-04-20,2015-10-03,"United States","State University",35.9153,-90.4542
"arkansas-tech-university","Arkansas Tech University",NA,"In addition to its long history of awarding degrees in strong and lucrative scientific and technical fields, Arkansas Technical College provides educational opportunities for creative writers, musicians and future educators. To meet the varied interests of its student body, Arkansas Tech also features a highly eclectic combination of college life activities. At Arkansas Tech, students may earn a bachelor’s or associate’s degree. Some examples of Arkansas Tech’s majors include, but are not limited to:*Computer and Information Science*Nuclear Technology*Veterinary Medicine *Electrical Engineering*Creative Writing*Secondary EducationStudent life is varied, providing opportunities to join a wide assortment of clubs, which include a fishing club, the Indian Student Association, a literary journal, as well as numerous religious, special interest and academic groups. First-time freshmen must have a high school diploma or GED, with a minimum ACT score of 15 or a minimum of 1060 on the SAT to meet admissions requirements. Entering freshmen may also earn credit for the AP, CLEP or IB exams. Transfer applicants with 24 units or more do not need to submit the ACT or SAT scores. Both freshmen and transfer applicants must have a minimum grade point average of 2.0. Federal aid sources, including loans and grants, are awarded to students who meet eligibility requirements like demonstrated financial need. Students may also apply for merit scholarships, which take academic performance into account.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Arkansas-Tech-University-2834A345.jpg","http://www.atu.edu/",2014-04-20,2015-11-21,"United States","Russellville",35.294,-93.1334
"art-center-college-of-design","Art Center College of Design","Art Center College of Design has achieved an international reputation for preparing artists and designers","The Art Center College of Design, located in Pasadena, California, offersstudents interested in art and design full-time opportunities to pursuebachelor’s and master’s degrees in nearly 15 disciplines. Students canseek to major in fields like Advertising, Photography and Imaging,Illustration, or Graphic Design, or simply build their portfolios withnon-degree classes.To apply to The Art Center College of Design, applicants must show astrong grade record and present a specialized portfolio. While theaverage freshmen at this college are in their early twenties, high schoolstudents can still apply for direct admissions.Classes run in terms of 14 weeks, and dedicated students can graduate ina minimum 32 months. The student to faculty ratio of 12:1 allows studentsopportunities to work directly with their professors to achieve theireducational goals.Students seeking financial aid can check their eligibility by filling outa FAFSA form, and peruse the scholarships offered for those in need ofaid.The Art Center College of Design does not offer on-campus housing, butstudents can expect to enjoy a college life that seeks to inspirecreativity and positively impact its community, and the manyopportunities offered by bustling Pasadena.","http://public.crunchbase.com/t_api_images/v1427544801/okcrsl6y6uszsfxqqbhz.png","http://www.artcenter.edu/",2014-04-20,2016-01-20,"United States","Pasadena",34.1704,-118.1867
