"school_permalink","school_name","short_description","description","image_url","homepage_url","created_at","updated_at","headquarters_country","headquarters_city","headquarters_lat","headquarters_lng"
"royal-roads-university","Royal Roads University","At Royal Roads University, we provide high quality, innovative, competitively priced, and applied post-secondary education to working profes","At Royal Roads University, we provide high quality, innovative, competitively priced, and applied post-secondary education to working professionals and career-focused students in Canada and around the globe. We’ve been an accredited university since 1995, but we’ve got a long history of excellence that goes back to 1940, when we first became a military college. Much has changed since then, but you can still find the same commitment to providing an excellent learning experience for working professionals.The programs offered at Royal Roads University provide our learners with the tools and techniques required to be effective after graduation. Whether you’re looking for a new career or want to improve your standing, financially and professionally, within your current organization, our blended learning model of online courses and intensive, on-campus residencies lets you use what you learn, today.Our online learning model allows you to continue working while you complete your degree. The program begins with a short, on-campus residency that allows you to meet the rest of the learners in your cohort, followed by distance courses that deliver the theoretical and information-based material in the program. Moodle, the platform used for online learning, facilitates the delivery of learning materials while providing you with the ability to interact and engage with fellow students and professors. Learn more about Royal Roads' online learning process.","http://public.crunchbase.com/t_api_images/v1435568055/jww68d93orzgc8t8rryt.png",NA,2013-05-01,2015-08-07,"Canada","Victoria",-4.61667,-4.61667
"royal-roads-university-2","Royal Roads University","High quality, innovative, competitively priced, and applied post-secondary education.",NA,"http://public.crunchbase.com/t_api_images/v1416801075/m34zho4h185preu0jlwa.png","http://www.royalroads.ca/",2014-04-20,2016-01-31,"Canada","Victoria",-4.61667,-4.61667
"ruhr-university-bochum","Ruhr University Bochum","Ruhr University Bochum, located on the southern hills of central Ruhr area Bochum, was founded in 1962.",NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Ruhr_University_Bochum_logo.jpg/225px-Ruhr_University_Bochum_logo.jpg","http://www.ruhr-uni-bochum.de/",2014-04-20,2015-12-29,NA,NA,NA,NA
"ruparel-college","Ruparel College",NA,NA,NA,"http://www.ruparel.edu",2014-04-20,2015-05-19,"India","Mumbai",19.07283,19.07283
"ruppin-academic-center","Ruppin Academic Center","Ruppin Academic Center",NA,"http://public.crunchbase.com/t_api_images/v1407229654/cgo4melma2oyqxbw0m0o.gif","http://www.ruppin.ac.il/english.aspx",2014-08-05,2015-06-09,NA,NA,NA,NA
"rush-medical-college","Rush Medical College",NA,NA,NA,"http://www.rushu.rush.edu/medcol/",2014-04-20,2015-05-19,NA,NA,NA,NA
"rutgers-business-school-newark-and-new-brunswick","Rutgers Business School – Newark and New Brunswick","http://business.rutgers.edu/",NA,"http://public.crunchbase.com/t_api_images/v1409902553/xwo7pjow4d9usda0ug6m.jpg","http://business.rutgers.edu/",2014-04-20,2015-12-13,NA,NA,NA,NA
"rutgers-university","Rutgers University","Rutgers, The State University of New Jersey (also known as Rutgers University), is the largest institution for higher education in the","Rutgers, The State University of New Jersey (also known as Rutgers University), is the largest institution for higher education in the state of New Jersey. It was originally chartered as Queen's College in 1766 and is the eighth-oldest college in the United States.Rutgers is the largest university within New Jersey's state university system, and it was ranked 54th in the world academically in a 2008 survey conducted by the Institute of Higher Education at Shanghai Jiao Tong University. The university offers more than 100 distinct bachelor, 100 master, and 80 doctoral and professional degree programs across 175 academic departments, 29 degree-granting schools and colleges, 16 of which offer graduate programs of study.","http://public.crunchbase.com/t_api_images/v1399390777/iglwtrfi4ik0k7zrsthp.bmp","http://www.rutgers.edu",2013-05-02,2016-02-05,"United States","New Brunswick",40.48622,40.48622
"school-of-engineering-rutgers-university","Rutgers University School of Engineering","School of Engineering","Rutgers School of Engineering is a place of possibilities—for students seeking success, for researchers seeking to create new technologies, and for faculty members and industry leaders seeking to form powerful and productive partnerships.Rutgers University’s School of Engineering is a vibrant academic community whose richly diverse students and faculty are committed to globally sustainable engineering. Its mission is built on a commitment to fostering the integration of education and research to achieve transformational innovation that is ethically responsible and sustainable.","http://public.crunchbase.com/t_api_images/v1398398083/iha19khykkbbgexvjdkw.png","http://www.soe.rutgers.edu",2014-04-25,2015-12-15,NA,NA,NA,NA
"rutgers-university-school-of-law","Rutgers University School of Law","Rutgers University School of Law",NA,"http://public.crunchbase.com/t_api_images/v1440855044/i5hdtxztp2jxqfaxptyl.png",NA,2014-10-21,2016-01-03,NA,NA,NA,NA
